Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	PROT (SLC6A7)	SLC6A7	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	S17A4 (SLC17A4)	SLC17A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	SERT (SLC6A4)	SLC6A4	Homo_sapiens	UniProt
Custom_transmembrane_transport	SGLT1 (SLC5A1)	SLC5A1	Homo_sapiens	NCBI;PMID: 23506864
Custom_transmembrane_transport	SGLT2 (SLC5A2)	SLC5A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	SGLT4 (SLC5A9)	SLC5A9	Homo_sapiens	PMID: 15607332;GeneCards-online-2021May24
Custom_transmembrane_transport	SGLT5 (SLC5A10)	SLC5A10	Homo_sapiens	NCBI
Custom_transmembrane_transport	SIT1 (SLC6A20)	SLC6A20	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	SLC17A2	SLC17A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	SMCT1 (SLC5A8)	SLC5A8	Homo_sapiens	UniProt online
Custom_transmembrane_transport	SMCT2 (SLC5A12)	SLC5A12	Homo_sapiens	NCBI
Custom_transmembrane_transport	SMIT1 (SLC5A3)	SLC5A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	SMIT2 (SLC5A11)	SLC5A11	Homo_sapiens	NCBI;PMID: 24944204
Custom_transmembrane_transport	SMVT (SLC5A)	SLC5A6	Homo_sapiens	NCBI;PMID: 22420308
Custom_transmembrane_transport	SNAT1 (SLC38A1)	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	SNAT2 (SLC38A2)	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	SNAT3 (SLC38A3)	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	SNAT4 (SLC38A4)	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
