Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A17	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A18	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A19	Homo_sapiens	UniProt online;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A20	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A6	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A7	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter	SLC6A9	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC38A8	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC7A6	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium amino acid symporter B2L	SLC7A7	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium amino acid vs hydrogen antiporter	SLC38A10	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium amino acid vs hydrogen antiporter	SLC38A11	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium- and chloride-dependent sodium:neurotransmitter symporter	SLC6A10	Homo_sapiens	NCBI;PMID: 17692818
Mbco_na_glucose_tm_transport_human	Sodium ascorbic acid symporter	SLC23A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium ascorbic acid symporter B2L	SLC23A2	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium aspartate symporter	SLC1A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium aspartate symporter	SLC1A2	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium aspartate symporter	SLC1A3	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC13A3	Homo_sapiens	NCBI;PMID: 27053689
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC13A5	Homo_sapiens	PMID: 24114175;UniProt
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
